menu_back	Zpìt	eskejp	 	V nabídkách slouží k návratu o úroveò zpìt. Ve høe se vrátí zpìt do hlavní nabídky.	 	1
silence	Pøerušení øeèi	dylít	kontrol plus šift plus alt	Pøeruší aktuální promluvu.	 
pause	Pauza	pé	pauza	Pozastaví nebo znovu spustí hru.	 
conmenu	Kontextové menu	kontextové menu	šift plus ef deset	Otevøe kontextové menu.	Z tohoto menu je možné zjistit kteroukoli dostupnou informaci o prùbìhu hry, zákaznících nebo pøedmìtech. Pøi spuštìní kontextového menu bude hra pozastavena.
label_local_customer	Pojmenování zákazníka na políèku	kontrol plus cé	 	Pokud právì stojíš na políèku, kde èeká zákazník s objednávkou, otevøe dialog pro jeho pojmenování.	 
optmenu	Nabídka nastavení	ef dva	 	Otevøe nabídku nastavení.	Pozastaví hru. Nìkterá nastavení nelze mìnit v prùbìhu hry. U takových voleb na tuto skuteènost program vždy upozorní.
learn_menu	Nabídka seznámení se zvuky	ef tøi	 	Otevøe nabídku seznámení se zvuky.	Pozastaví hru.
move_left	Krok doleva	levá šipka	 	Krok doleva.	 	2
move_right	Krok doprava	pravá šipka	 	Krok doprava.	 
move_up	Krok nahoru	horní šipka	 	Krok o schod nahoru.	 
move_down	Krok dolù	dolní šipka	 	Krok o schod dolù.	 
faucet_prev	Pøedchozí kohoutek	kontrol plus levá šipka	 	Pøepne pípu na pøedchozí kohoutek.	 
faucet_next	Následující kohoutek	kontrol plus pravá šipka	 	Pøepne pípu na další kohoutek.	 
mug_prev	Pøedchozí pùllitr	kontrol plus dolní šipka	 	Vezme do ruky pøedchozí pùllitr, který máš u sebe.	 
mug_next	Následující pùllitr	kontrol plus horní šipka	 	Vezme do ruky další pùllitr, který máš u sebe.	 
mug_first	První pùllitr	kontrol plus šift plus dolní šipka	 	Vezme do ruky první pùllitr, který máš u sebe.	 
mug_last	Poslední pùllitr	kontrol plus šift plus horní šipka	 	Vezme do ruky poslední pùllitr, který máš u sebe.	 
action_primary	Primární akce	alfanumerický enter	numerický enter	Interaguje s pøedmìtem nebo zákazníkem na políèku, kde právì stojíš, pokud je to v danou chvíli možné.	Vždy podle kontextu buï sebere pùllitr nebo odloží ten, který právì držíš v ruce, zapne nebo vypne pípu, omráèí zákazníka, sebere nebo odloží sud atd. Ne každá akce se dá provést kdykoli.
action_secondary	Sekundární akce		šift plus alfanumerický enter	šift plus numerický enter	Pøedá natoèený pùllitr zákazníkovi; otevøe nabídku pro zaplacení zákazníkovi, aby ti pomáhal; ovládá jukebox.	 
get_time	Informace o høe	té	 	Oznámí souhrnné informace o probíhající høe.	Informace uvádìjí - kromì uplynulého èasu v režimu nekoneèné hry nebo zbývajícího èasu ve všech ostatních režimech - i zvolenou obtížnost, režim a pøípadná omezení hardcore hry.	3
