runtime	Celkový čas	1
run_times	Počet spuštění	1
normal_played_total	Dohromady	2	1
normal_played_diff1	Na nejjednodušší obtížnost	2	1
normal_played_diff2	Na jednoduchou obtížnost	2	1
normal_played_diff3	Na střední obtížnost	2	1
normal_played_diff4	Na těžkou obtížnost	2	1
normal_played_diff5	Na nejtěžší obtížnost	2	1
normal_completed_total	Dohromady	2	2
normal_completed_diff1	Na nejjednodušší obtížnost	2	2
normal_completed_diff2	Na jednoduchou obtížnost	2	2
normal_completed_diff3	Na střední obtížnost	2	2
normal_completed_diff4	Na těžkou obtížnost	2	2
normal_completed_diff5	Na nejtěžší obtížnost	2	2
normal_lost_total	Dohromady	2	3
normal_lost_diff1	Na nejjednodušší obtížnost	2	3
normal_lost_diff2	Na jednoduchou obtížnost	2	3
normal_lost_diff3	Na střední obtížnost	2	3
normal_lost_diff4	Na těžkou obtížnost	2	3
normal_lost_diff5	Na nejtěžší obtížnost	2	3
normal_died_falls	Padáním ze schodů	2	3
normal_died_punched	Umlácením hráče	2	3
normal_died_trips	Zakopáváním	2	3
normal_died_player_fled	Odchodem	2	3
normal_died_player_slouch	Špatnou obsluhou	2	3
normal_died_customer	Umlácením zákazníka	2	3
normal_died_mugs	Rozbitím všech půllitrů	2	3
normal_quit_total	Dohromady	2	4
normal_quit_diff1	Na nejjednodušší obtížnost	2	4
normal_quit_diff2	Na jednoduchou obtížnost	2	4
normal_quit_diff3	Na střední obtížnost	2	4
normal_quit_diff4	Na těžkou obtížnost	2	4
normal_quit_diff5	Na nejtěžší obtížnost	2	4
normal_duration_total	Dohromady	2	5
normal_duration_diff1	Na nejjednodušší obtížnost	2	5
normal_duration_diff2	Na jednoduchou obtížnost	2	5
normal_duration_diff3	Na střední obtížnost	2	5
normal_duration_diff4	Na těžkou obtížnost	2	5
normal_duration_diff5	Na nejtěžší obtížnost	2	5
normal_completed_duration	Ve vyhraných hrách	2	5
normal_lost_duration	V prohraných hrách	2	5
normal_quit_duration	V přerušených hrách	2	5
normal_longest_total	Celkově	2	6
normal_longest_diff1	Na nejjednodušší obtížnost	2	6
normal_longest_diff2	Na jednoduchou obtížnost	2	6
normal_longest_diff3	Na střední obtížnost	2	6
normal_longest_diff4	Na těžkou obtížnost	2	6
normal_longest_diff5	Na nejtěžší obtížnost	2	6
normal_completed_longest	Vyhraná hra	2	6
normal_lost_longest	Prohraná hra	2	6
normal_quit_longest	Přerušená hra	2	6
normal_hardcore_played_total	Dohromady	3	1
normal_hardcore_played_diff1	Na nejjednodušší obtížnost	3	1
normal_hardcore_played_diff2	Na jednoduchou obtížnost	3	1
normal_hardcore_played_diff3	Na střední obtížnost	3	1
normal_hardcore_played_diff4	Na těžkou obtížnost	3	1
normal_hardcore_played_diff5	Na nejtěžší obtížnost	3	1
normal_hardcore_completed_total	Dohromady	3	2
normal_hardcore_completed_diff1	Na nejjednodušší obtížnost	3	2
normal_hardcore_completed_diff2	Na jednoduchou obtížnost	3	2
normal_hardcore_completed_diff3	Na střední obtížnost	3	2
normal_hardcore_completed_diff4	Na těžkou obtížnost	3	2
normal_hardcore_completed_diff5	Na nejtěžší obtížnost	3	2
normal_hardcore_lost_total	Dohromady	3	3
normal_hardcore_lost_diff1	Na nejjednodušší obtížnost	3	3
normal_hardcore_lost_diff2	Na jednoduchou obtížnost	3	3
normal_hardcore_lost_diff3	Na střední obtížnost	3	3
normal_hardcore_lost_diff4	Na těžkou obtížnost	3	3
normal_hardcore_lost_diff5	Na nejtěžší obtížnost	3	3
normal_hardcore_died_fled	Odchodem zákazníka	3	3
normal_hardcore_died_stunned	Omráčením zákazníka	3	3
normal_hardcore_died_mug	Rozbitím půllitru	3	3
normal_hardcore_died_barrel	Rozbitím sudu	3	3
normal_hardcore_died_trip	Zakopnutím	3	3
normal_hardcore_died_fall	Pádem ze schodů	3	3
normal_hardcore_died_mistake	Chybou při obsluze	3	3
normal_hardcore_died_punch	Praštěním hráče	3	3
normal_hardcore_died_messy	odchodem všech zákazníků kvůli nepořádku	3	3
normal_hardcore_quit_total	Dohromady	3	4
normal_hardcore_quit_diff1	Na nejjednodušší obtížnost	3	4
normal_hardcore_quit_diff2	Na jednoduchou obtížnost	3	4
normal_hardcore_quit_diff3	Na střední obtížnost	3	4
normal_hardcore_quit_diff4	Na těžkou obtížnost	3	4
normal_hardcore_quit_diff5	Na nejtěžší obtížnost	3	4
normal_hardcore_duration_total	Dohromady	3	5
normal_hardcore_duration_diff1	Na nejjednodušší obtížnost	3	5
normal_hardcore_duration_diff2	Na jednoduchou obtížnost	3	5
normal_hardcore_duration_diff3	Na střední obtížnost	3	5
normal_hardcore_duration_diff4	Na těžkou obtížnost	3	5
normal_hardcore_duration_diff5	Na nejtěžší obtížnost	3	5
normal_hardcore_completed_duration	Ve vyhraných hrách	3	5
normal_hardcore_lost_duration	V prohraných hrách	3	5
normal_hardcore_quit_duration	V přerušených hrách	3	5
normal_hardcore_longest_total	Celkově	3	6
normal_hardcore_longest_diff1	Na nejjednodušší obtížnost	3	6
normal_hardcore_longest_diff2	Na jednoduchou obtížnost	3	6
normal_hardcore_longest_diff3	Na střední obtížnost	3	6
normal_hardcore_longest_diff4	Na těžkou obtížnost	3	6
normal_hardcore_longest_diff5	Na nejtěžší obtížnost	3	6
normal_hardcore_completed_longest	Vyhraná hra	3	6
normal_hardcore_lost_longest	Prohraná hra	3	6
normal_hardcore_quit_longest	Přerušená hra	3	6
endless_played_total	Dohromady	4	1
endless_played_diff1	Na nejjednodušší obtížnost	4	1
endless_played_diff2	Na jednoduchou obtížnost	4	1
endless_played_diff3	Na střední obtížnost	4	1
endless_played_diff4	Na těžkou obtížnost	4	1
endless_played_diff5	Na nejtěžší obtížnost	4	1
endless_lost_total	Dohromady	4	2
endless_lost_diff1	Na nejjednodušší obtížnost	4	2
endless_lost_diff2	Na jednoduchou obtížnost	4	2
endless_lost_diff3	Na střední obtížnost	4	2
endless_lost_diff4	Na těžkou obtížnost	4	2
endless_lost_diff5	Na nejtěžší obtížnost	4	2
endless_died_falls	Padáním ze schodů		4	2
endless_died_punched	Umlácením hráče	4	2
endless_died_trips	Zakopáváním	4	2
endless_died_player_fled	Odchodem	4	2
endless_died_player_slouch	Špatnou obsluhou	4	2
endless_died_customer	Umlácením zákazníka	4	2
endless_died_mugs	Rozbitím všech půllitrů	4	2
endless_quit_total	Dohromady	4	3
endless_quit_diff1	Na nejjednodušší obtížnost	4	3
endless_quit_diff2	Na jednoduchou obtížnost	4	3
endless_quit_diff3	Na střední obtížnost	4	3
endless_quit_diff4	Na těžkou obtížnost	4	3
endless_quit_diff5	Na nejtěžší obtížnost	4	3
endless_duration_total	Dohromady	4	4
endless_duration_diff1	Na nejjednodušší obtížnost	4	4
endless_duration_diff2	Na jednoduchou obtížnost	4	4
endless_duration_diff3	Na střední obtížnost	4	4
endless_duration_diff4	Na těžkou obtížnost	4	4
endless_duration_diff5	Na nejtěžší obtížnost	4	4
endless_lost_duration	V prohraných hrách	4	4
endless_quit_duration	V přerušených hrách	4	4
endless_longest_total	Celkově	4	5
endless_longest_diff1	Na nejjednodušší obtížnost	4	5
endless_longest_diff2	Na jednoduchou obtížnost	4	5
endless_longest_diff3	Na střední obtížnost	4	5
endless_longest_diff4	Na těžkou obtížnost	4	5
endless_longest_diff5	Na nejtěžší obtížnost	4	5
endless_lost_longest	Prohraná hra	4	5
endless_quit_longest	Přerušená hra	4	5
endless_hardcore_played_total	Dohromady	5	1
endless_hardcore_played_diff1	Na nejjednodušší obtížnost	5	1
endless_hardcore_played_diff2	Na jednoduchou obtížnost	5	1
endless_hardcore_played_diff3	Na střední obtížnost	5	1
endless_hardcore_played_diff4	Na těžkou obtížnost	5	1
endless_hardcore_played_diff5	Na nejtěžší obtížnost	5	1
endless_hardcore_lost_total	Dohromady	5	2
endless_hardcore_lost_diff1	Na nejjednodušší obtížnost	5	2
endless_hardcore_lost_diff2	Na jednoduchou obtížnost	5	2
